SampleID;Sepal_Length;Sepal_Width;Petal_Length;Petal_Width;Species
1;4,3;3;1,1;0,1;I. setosa
2;4,8;3;1,4;0,1;I. setosa
3;4,9;3,1;1,5;0,1;I. setosa
4;4,9;3,6;1,4;0,1;I. setosa
5;5,2;4,1;1,5;0,1;I. setosa
6;4,4;2,9;1,4;0,2;I. setosa
7;4,4;3;1,3;0,2;I. setosa
8;4,4;3,2;1,3;0,2;I. setosa
9;4,6;3,1;1,5;0,2;I. setosa
10;4,6;3,6;1;0,2;I. setosa
11;4,6;3,2;1,4;0,2;I. setosa
12;4,7;3,2;1,3;0,2;I. setosa
13;4,7;3,2;1,6;0,2;I. setosa
14;4,8;3,4;1,6;0,2;I. setosa
15;4,8;3,4;1,9;0,2;I. setosa
16;4,8;3,1;1,6;0,2;I. setosa
17;4,9;3;1,4;0,2;I. setosa
18;4,9;3,1;1,5;0,2;I. setosa
19;5;3,6;1,4;0,2;I. setosa
20;5;3,4;1,5;0,2;I. setosa
21;5;3;1,6;0,2;I. setosa
22;5;3,2;1,2;0,2;I. setosa
23;5;3,3;1,4;0,2;I. setosa
24;5,1;3,5;1,4;0,2;I. setosa
25;5,1;3,4;1,5;0,2;I. setosa
26;5,1;3,8;1,6;0,2;I. setosa
27;5,2;3,5;1,5;0,2;I. setosa
28;5,2;3,4;1,4;0,2;I. setosa
29;5,3;3,7;1,5;0,2;I. setosa
30;5,4;3,7;1,5;0,2;I. setosa
31;5,4;3,4;1,7;0,2;I. setosa
32;5,5;4,2;1,4;0,2;I. setosa
33;5,5;3,5;1,3;0,2;I. setosa
34;5,8;4;1,2;0,2;I. setosa
35;4,5;2,3;1,3;0,3;I. setosa
36;4,6;3,4;1,4;0,3;I. setosa
37;4,8;3;1,4;0,3;I. setosa
38;5;3,5;1,3;0,3;I. setosa
39;5,1;3,5;1,4;0,3;I. setosa
40;5,1;3,8;1,5;0,3;I. setosa
41;5,7;3,8;1,7;0,3;I. setosa
42;5;3,4;1,6;0,4;I. setosa
43;5,1;3,7;1,5;0,4;I. setosa
44;5,1;3,8;1,9;0,4;I. setosa
45;5,4;3,9;1,7;0,4;I. setosa
46;5,4;3,9;1,3;0,4;I. setosa
47;5,4;3,4;1,5;0,4;I. setosa
48;5,7;4,4;1,5;0,4;I. setosa
49;5,1;3,3;1,7;0,5;I. setosa
50;5;3,5;1,6;0,6;I. setosa
51;4,9;2,4;3,3;1;I. versicolor
52;5;2;3,5;1;I. versicolor
53;5;2,3;3,3;1;I. versicolor
54;5,5;2,4;3,7;1;I. versicolor
55;5,7;2,6;3,5;1;I. versicolor
56;5,8;2,7;4,1;1;I. versicolor
57;6;2,2;4;1;I. versicolor
58;5,1;2,5;3;1,1;I. versicolor
59;5,5;2,4;3,8;1,1;I. versicolor
60;5,6;2,5;3,9;1,1;I. versicolor
61;5,5;2,6;4,4;1,2;I. versicolor
62;5,7;3;4,2;1,2;I. versicolor
63;5,8;2,7;3,9;1,2;I. versicolor
64;5,8;2,6;4;1,2;I. versicolor
65;6,1;2,8;4,7;1,2;I. versicolor
66;5,5;2,3;4;1,3;I. versicolor
67;5,5;2,5;4;1,3;I. versicolor
68;5,6;2,9;3,6;1,3;I. versicolor
69;5,6;3;4,1;1,3;I. versicolor
70;5,6;2,7;4,2;1,3;I. versicolor
71;5,7;2,8;4,5;1,3;I. versicolor
72;5,7;2,9;4,2;1,3;I. versicolor
73;5,7;2,8;4,1;1,3;I. versicolor
74;6,1;2,8;4;1,3;I. versicolor
75;6,2;2,9;4,3;1,3;I. versicolor
76;6,3;2,3;4,4;1,3;I. versicolor
77;6,4;2,9;4,3;1,3;I. versicolor
78;6,6;2,9;4,6;1,3;I. versicolor
79;5,2;2,7;3,9;1,4;I. versicolor
80;6,1;2,9;4,7;1,4;I. versicolor
81;6,1;3;4,6;1,4;I. versicolor
82;6,1;2,6;5,6;1,4;I. virginica
83;6,6;3;4,4;1,4;I. versicolor
84;6,7;3,1;4,4;1,4;I. versicolor
85;6,8;2,8;4,8;1,4;I. versicolor
86;7;3,2;4,7;1,4;I. versicolor
87;5,4;3;4,5;1,5;I. versicolor
88;5,6;3;4,5;1,5;I. versicolor
89;5,9;3;4,2;1,5;I. versicolor
90;6;2,9;4,5;1,5;I. versicolor
91;6;2,2;5;1,5;I. virginica
92;6,2;2,2;4,5;1,5;I. versicolor
93;6,3;2,5;4,9;1,5;I. versicolor
94;6,3;2,8;5,1;1,5;I. virginica
95;6,4;3,2;4,5;1,5;I. versicolor
96;6,5;2,8;4,6;1,5;I. versicolor
97;6,7;3,1;4,7;1,5;I. versicolor
98;6,9;3,1;4,9;1,5;I. versicolor
99;6;2,7;5,1;1,6;I. versicolor
100;6;3,4;4,5;1,6;I. versicolor
101;6,3;3,3;4,7;1,6;I. versicolor
102;7,2;3;5,8;1,6;I. virginica
103;4,9;2,5;4,5;1,7;I. virginica
104;6,7;3;5;1,7;I. versicolor
105;5,9;3,2;4,8;1,8;I. versicolor
106;5,9;3;5,1;1,8;I. virginica
107;6;3;4,8;1,8;I. virginica
108;6,1;3;4,9;1,8;I. virginica
109;6,2;2,8;4,8;1,8;I. virginica
110;6,3;2,9;5,6;1,8;I. virginica
111;6,3;2,7;4,9;1,8;I. virginica
112;6,4;3,1;5,5;1,8;I. virginica
113;6,5;3;5,5;1,8;I. virginica
114;6,7;2,5;5,8;1,8;I. virginica
115;7,2;3,2;6;1,8;I. virginica
116;7,3;2,9;6,3;1,8;I. virginica
117;5,8;2,7;5,1;1,9;I. virginica
118;5,8;2,7;5,1;1,9;I. virginica
119;6,3;2,5;5;1,9;I. virginica
120;6,4;2,7;5,3;1,9;I. virginica
121;7,4;2,8;6,1;1,9;I. virginica
122;5,6;2,8;4,9;2;I. virginica
123;5,7;2,5;5;2;I. virginica
124;6,5;3,2;5,1;2;I. virginica
125;6,5;3;5,2;2;I. virginica
126;7,7;2,8;6,7;2;I. virginica
127;7,9;3,8;6,4;2;I. virginica
128;6,4;2,8;5,6;2,1;I. virginica
129;6,7;3,3;5,7;2,1;I. virginica
130;6,8;3;5,5;2,1;I. virginica
131;6,9;3,1;5,4;2,1;I. virginica
132;7,1;3;5,9;2,1;I. virginica
133;7,6;3;6,6;2,1;I. virginica
134;6,4;2,8;5,6;2,2;I. virginica
135;6,5;3;5,8;2,2;I. virginica
136;7,7;3,8;6,7;2,2;I. virginica
137;6,2;3,4;5,4;2,3;I. virginica
138;6,4;3,2;5,3;2,3;I. virginica
139;6,7;3;5,2;2,3;I. virginica
140;6,8;3,2;5,9;2,3;I. virginica
141;6,9;3,2;5,7;2,3;I. virginica
142;6,9;3,1;5,1;2,3;I. virginica
143;7,7;2,6;6,9;2,3;I. virginica
144;7,7;3;6,1;2,3;I. virginica
145;5,8;2,8;5,1;2,4;I. virginica
146;6,3;3,4;5,6;2,4;I. virginica
147;6,7;3,1;5,6;2,4;I. virginica
148;6,3;3,3;6;2,5;I. virginica
149;6,7;3,3;5,7;2,5;I. virginica
150;7,2;3,6;6,1;2,5;I. virginica
