Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Switzerland,CHE,2015,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Switzerland,CHE,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Switzerland,CHE,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Switzerland,CHE,2015,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Switzerland,CHE,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Switzerland,CHE,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Switzerland,CHE,2015,Urban land area (sq. km),AG.LND.TOTL.UR.K2,4016.815073034
Switzerland,CHE,2000,Urban land area (sq. km),AG.LND.TOTL.UR.K2,3388.774180366
Switzerland,CHE,1990,Urban land area (sq. km),AG.LND.TOTL.UR.K2,3066.311174795
Switzerland,CHE,2021,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2020,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2019,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2018,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,1992,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,1991,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,1990,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Switzerland,CHE,2019,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,9.902709701
Switzerland,CHE,2018,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,10.15005926
Switzerland,CHE,2017,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,9.854778198
Switzerland,CHE,2016,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,10.60281759
Switzerland,CHE,2015,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,11.59075488
Switzerland,CHE,2014,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,10.60883998
Switzerland,CHE,2013,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,12.47195588
Switzerland,CHE,2012,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,12.71146517
Switzerland,CHE,2011,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,13.81779708
Switzerland,CHE,2010,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,13.15189172
Switzerland,CHE,2005,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,13.06616084
Switzerland,CHE,2000,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,14.88087098
Switzerland,CHE,1995,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,16.70703907
Switzerland,CHE,1990,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.97383325
Switzerland,CHE,2017,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,49.3001362303515
Switzerland,CHE,2016,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,49.3394536369063
Switzerland,CHE,2015,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,72.3111073443463
Switzerland,CHE,2014,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,78.499186393826
Switzerland,CHE,2013,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,86.9104974533489
Switzerland,CHE,2012,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,91.8209143581515
Switzerland,CHE,2011,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,94.7852350840776
Switzerland,CHE,2010,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,93.0007045460388
Switzerland,CHE,2005,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,93.5750613398087
Switzerland,CHE,2000,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,92.7305802837176
Switzerland,CHE,1995,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,95.1002489908761
Switzerland,CHE,1990,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,96.4286654928097
Switzerland,CHE,2021,Population density (people per sq. km of land area),EN.POP.DNST,220.31454103721
Switzerland,CHE,2020,Population density (people per sq. km of land area),EN.POP.DNST,218.63446962171
Switzerland,CHE,2019,Population density (people per sq. km of land area),EN.POP.DNST,217.042781721823
Switzerland,CHE,2018,Population density (people per sq. km of land area),EN.POP.DNST,215.500094533915
Switzerland,CHE,2017,Population density (people per sq. km of land area),EN.POP.DNST,213.918480127503
Switzerland,CHE,2016,Population density (people per sq. km of land area),EN.POP.DNST,211.931572125581
Switzerland,CHE,2015,Population density (people per sq. km of land area),EN.POP.DNST,209.626620751132
Switzerland,CHE,2014,Population density (people per sq. km of land area),EN.POP.DNST,207.250751433234
Switzerland,CHE,2013,Population density (people per sq. km of land area),EN.POP.DNST,204.734336607627
Switzerland,CHE,2012,Population density (people per sq. km of land area),EN.POP.DNST,202.390548012367
Switzerland,CHE,2011,Population density (people per sq. km of land area),EN.POP.DNST,200.249864435738
Switzerland,CHE,2010,Population density (people per sq. km of land area),EN.POP.DNST,198.032658685794
Switzerland,CHE,2009,Population density (people per sq. km of land area),EN.POP.DNST,195.977767173332
Switzerland,CHE,2008,Population density (people per sq. km of land area),EN.POP.DNST,193.541360670795
Switzerland,CHE,2007,Population density (people per sq. km of land area),EN.POP.DNST,191.094854564163
Switzerland,CHE,2006,Population density (people per sq. km of land area),EN.POP.DNST,189.388794405946
Switzerland,CHE,2005,Population density (people per sq. km of land area),EN.POP.DNST,188.198156410317
Switzerland,CHE,2004,Population density (people per sq. km of land area),EN.POP.DNST,186.990617655533
Switzerland,CHE,2003,Population density (people per sq. km of land area),EN.POP.DNST,185.703856614881
Switzerland,CHE,2002,Population density (people per sq. km of land area),EN.POP.DNST,184.325482117304
Switzerland,CHE,2001,Population density (people per sq. km of land area),EN.POP.DNST,182.930725796739
Switzerland,CHE,2000,Population density (people per sq. km of land area),EN.POP.DNST,181.771231711013
Switzerland,CHE,1999,Population density (people per sq. km of land area),EN.POP.DNST,180.747049953447
Switzerland,CHE,1998,Population density (people per sq. km of land area),EN.POP.DNST,179.881535754967
Switzerland,CHE,1997,Population density (people per sq. km of land area),EN.POP.DNST,179.342310215106
Switzerland,CHE,1996,Population density (people per sq. km of land area),EN.POP.DNST,178.905301988284
Switzerland,CHE,1995,Population density (people per sq. km of land area),EN.POP.DNST,178.111454004043
Switzerland,CHE,1994,Population density (people per sq. km of land area),EN.POP.DNST,176.925563862413
Switzerland,CHE,1993,Population density (people per sq. km of land area),EN.POP.DNST,175.521148630479
Switzerland,CHE,1992,Population density (people per sq. km of land area),EN.POP.DNST,173.930259050029
Switzerland,CHE,1991,Population density (people per sq. km of land area),EN.POP.DNST,172.023521762943
Switzerland,CHE,1990,Population density (people per sq. km of land area),EN.POP.DNST,169.887250637313
Switzerland,CHE,1989,Population density (people per sq. km of land area),EN.POP.DNST,168.151990971735
Switzerland,CHE,1988,Population density (people per sq. km of land area),EN.POP.DNST,166.798240587759
Switzerland,CHE,1987,Population density (people per sq. km of land area),EN.POP.DNST,165.577197315492
Switzerland,CHE,1986,Population density (people per sq. km of land area),EN.POP.DNST,164.540773281355
Switzerland,CHE,1985,Population density (people per sq. km of land area),EN.POP.DNST,163.687072258833
Switzerland,CHE,1984,Population density (people per sq. km of land area),EN.POP.DNST,162.966410052015
Switzerland,CHE,1983,Population density (people per sq. km of land area),EN.POP.DNST,162.382556880809
Switzerland,CHE,1982,Population density (people per sq. km of land area),EN.POP.DNST,161.687770736763
Switzerland,CHE,1981,Population density (people per sq. km of land area),EN.POP.DNST,160.745797168691
Switzerland,CHE,1980,Population density (people per sq. km of land area),EN.POP.DNST,159.868814337731
Switzerland,CHE,1979,Population density (people per sq. km of land area),EN.POP.DNST,159.235274816709
Switzerland,CHE,1978,Population density (people per sq. km of land area),EN.POP.DNST,158.918690548472
Switzerland,CHE,1977,Population density (people per sq. km of land area),EN.POP.DNST,158.904422181745
Switzerland,CHE,1976,Population density (people per sq. km of land area),EN.POP.DNST,159.444039668083
Switzerland,CHE,1975,Population density (people per sq. km of land area),EN.POP.DNST,160.358024691358
Switzerland,CHE,1974,Population density (people per sq. km of land area),EN.POP.DNST,160.428177494434
Switzerland,CHE,1973,Population density (people per sq. km of land area),EN.POP.DNST,159.566560412872
Switzerland,CHE,1972,Population density (people per sq. km of land area),EN.POP.DNST,158.392936652499
Switzerland,CHE,1971,Population density (people per sq. km of land area),EN.POP.DNST,157.189814814815
Switzerland,CHE,1970,Population density (people per sq. km of land area),EN.POP.DNST,156.367056263914
Switzerland,CHE,1969,Population density (people per sq. km of land area),EN.POP.DNST,155.24152499494
Switzerland,CHE,1968,Population density (people per sq. km of land area),EN.POP.DNST,153.504199554746
Switzerland,CHE,1967,Population density (people per sq. km of land area),EN.POP.DNST,151.583308034811
Switzerland,CHE,1966,Population density (people per sq. km of land area),EN.POP.DNST,149.716707144303
Switzerland,CHE,1965,Population density (people per sq. km of land area),EN.POP.DNST,148.160089050799
Switzerland,CHE,1964,Population density (people per sq. km of land area),EN.POP.DNST,146.458915199352
Switzerland,CHE,1963,Population density (people per sq. km of land area),EN.POP.DNST,144.056036227484
Switzerland,CHE,1962,Population density (people per sq. km of land area),EN.POP.DNST,141.009284557782
Switzerland,CHE,1961,Population density (people per sq. km of land area),EN.POP.DNST,137.479609390812
Switzerland,CHE,2015,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,0
Switzerland,CHE,2000,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,0
Switzerland,CHE,1990,Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,0
Switzerland,CHE,2022,Population in largest city,EN.URB.LCTY,1419621
Switzerland,CHE,2021,Population in largest city,EN.URB.LCTY,1407572
Switzerland,CHE,2020,Population in largest city,EN.URB.LCTY,1395356
Switzerland,CHE,2019,Population in largest city,EN.URB.LCTY,1383092
Switzerland,CHE,2018,Population in largest city,EN.URB.LCTY,1370779
Switzerland,CHE,2017,Population in largest city,EN.URB.LCTY,1356037
Switzerland,CHE,2016,Population in largest city,EN.URB.LCTY,1341453
Switzerland,CHE,2015,Population in largest city,EN.URB.LCTY,1327026
Switzerland,CHE,2014,Population in largest city,EN.URB.LCTY,1312774
Switzerland,CHE,2013,Population in largest city,EN.URB.LCTY,1298675
Switzerland,CHE,2012,Population in largest city,EN.URB.LCTY,1284746
Switzerland,CHE,2011,Population in largest city,EN.URB.LCTY,1270929
Switzerland,CHE,2010,Population in largest city,EN.URB.LCTY,1257280
Switzerland,CHE,2009,Population in largest city,EN.URB.LCTY,1243777
Switzerland,CHE,2008,Population in largest city,EN.URB.LCTY,1230437
Switzerland,CHE,2007,Population in largest city,EN.URB.LCTY,1217204
Switzerland,CHE,2006,Population in largest city,EN.URB.LCTY,1204132
Switzerland,CHE,2005,Population in largest city,EN.URB.LCTY,1191200
Switzerland,CHE,2004,Population in largest city,EN.URB.LCTY,1178424
Switzerland,CHE,2003,Population in largest city,EN.URB.LCTY,1165750
Switzerland,CHE,2002,Population in largest city,EN.URB.LCTY,1153230
Switzerland,CHE,2001,Population in largest city,EN.URB.LCTY,1140845
Switzerland,CHE,2000,Population in largest city,EN.URB.LCTY,1128804
Switzerland,CHE,1999,Population in largest city,EN.URB.LCTY,1117113
Switzerland,CHE,1998,Population in largest city,EN.URB.LCTY,1105559
Switzerland,CHE,1997,Population in largest city,EN.URB.LCTY,1094125
Switzerland,CHE,1996,Population in largest city,EN.URB.LCTY,1082824
Switzerland,CHE,1995,Population in largest city,EN.URB.LCTY,1071610
Switzerland,CHE,1994,Population in largest city,EN.URB.LCTY,1060527
Switzerland,CHE,1993,Population in largest city,EN.URB.LCTY,1049558
Switzerland,CHE,1992,Population in largest city,EN.URB.LCTY,1038718
Switzerland,CHE,1991,Population in largest city,EN.URB.LCTY,1027960
Switzerland,CHE,1990,Population in largest city,EN.URB.LCTY,1005859
Switzerland,CHE,1989,Population in largest city,EN.URB.LCTY,969394
Switzerland,CHE,1988,Population in largest city,EN.URB.LCTY,934299
Switzerland,CHE,1987,Population in largest city,EN.URB.LCTY,900382
Switzerland,CHE,1986,Population in largest city,EN.URB.LCTY,867741
Switzerland,CHE,1985,Population in largest city,EN.URB.LCTY,836284
Switzerland,CHE,1984,Population in largest city,EN.URB.LCTY,806007
Switzerland,CHE,1983,Population in largest city,EN.URB.LCTY,776748
Switzerland,CHE,1982,Population in largest city,EN.URB.LCTY,748589
Switzerland,CHE,1981,Population in largest city,EN.URB.LCTY,721451
Switzerland,CHE,1980,Population in largest city,EN.URB.LCTY,706766
Switzerland,CHE,1979,Population in largest city,EN.URB.LCTY,708068
Switzerland,CHE,1978,Population in largest city,EN.URB.LCTY,709371
Switzerland,CHE,1977,Population in largest city,EN.URB.LCTY,710676
Switzerland,CHE,1976,Population in largest city,EN.URB.LCTY,711982
Switzerland,CHE,1975,Population in largest city,EN.URB.LCTY,713293
Switzerland,CHE,1974,Population in largest city,EN.URB.LCTY,714605
Switzerland,CHE,1973,Population in largest city,EN.URB.LCTY,715920
Switzerland,CHE,1972,Population in largest city,EN.URB.LCTY,717235
Switzerland,CHE,1971,Population in largest city,EN.URB.LCTY,718557
Switzerland,CHE,1970,Population in largest city,EN.URB.LCTY,710580
Switzerland,CHE,1969,Population in largest city,EN.URB.LCTY,690147
Switzerland,CHE,1968,Population in largest city,EN.URB.LCTY,670328
Switzerland,CHE,1967,Population in largest city,EN.URB.LCTY,651026
Switzerland,CHE,1966,Population in largest city,EN.URB.LCTY,632305
Switzerland,CHE,1965,Population in largest city,EN.URB.LCTY,614123
Switzerland,CHE,1964,Population in largest city,EN.URB.LCTY,596487
Switzerland,CHE,1963,Population in largest city,EN.URB.LCTY,579311
Switzerland,CHE,1962,Population in largest city,EN.URB.LCTY,562653
Switzerland,CHE,1961,Population in largest city,EN.URB.LCTY,546473
Switzerland,CHE,1960,Population in largest city,EN.URB.LCTY,535471
Switzerland,CHE,2022,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,21.8331483684746
Switzerland,CHE,2021,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,21.8532604173006
Switzerland,CHE,2020,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,21.8539958567878
Switzerland,CHE,2019,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,21.8402753049658
Switzerland,CHE,2018,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,21.8161611721448
Switzerland,CHE,2017,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,21.7517125798143
Switzerland,CHE,2016,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,21.7259899559732
Switzerland,CHE,2015,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,21.7345110248481
Switzerland,CHE,2014,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,21.7537322027399
